popularity,vote_count,release_year,cluster
25.254,2337,2007,0
56.116,633,2022,0
39.567,753,1944,2
35.609,1296,1951,2
8.019,653,1981,2
24.826,485,1962,2
12.78,329,1973,2
12.769,335,1988,2
33.373,999,1967,2
63.239,8212,2018,1
23.685,417,2016,0
35.66,2544,2000,0
164.85,3145,1986,2
90.532,1879,2023,0
38.036,319,2013,0
12.455,1071,2008,0
15.163,303,1969,2
229.227,11223,2022,1
22.429,968,1991,2
253.134,16741,2017,1
17.973,857,1983,2
32.091,694,2005,0
18.105,1102,1925,2
12.531,760,2017,0
13.816,592,1970,2
43.84,3184,2017,0
74.268,20990,2017,1
207.766,9638,2021,1
129.855,468,2023,0
18.585,349,1988,2
57.468,1034,2019,0
25.094,335,2013,0
30.668,2313,1968,2
40.553,714,1982,2
19.317,461,1957,2
94.242,5124,1997,0
32.965,372,1945,2
91.705,812,1940,2
25.933,1119,1969,2
74.22,13351,2014,1
66.286,1882,1991,2
76.143,6237,2001,0
31.295,2213,2014,0
29.264,1133,2020,0
33.516,1080,2015,0
454.956,29802,2016,1
57.86,658,1956,2
25.876,1167,2018,0
14.154,305,1928,2
55.808,733,1989,2
54.733,6808,2006,0
12.363,530,2019,0
22.273,387,2007,0
20.15,327,1958,2
30.707,2088,1969,2
90.06,7656,1993,1
46.686,2687,2015,0
46.347,348,2022,0
65.172,696,2008,0
30.285,6568,2008,0
195.291,6537,2019,1
187.181,9138,2021,1
164.624,11023,2010,1
29.537,925,1979,2
59.274,859,2020,0
34.336,3037,2015,0
32.811,341,2011,0
27.553,892,2007,0
27.004,559,1958,2
68.667,2004,1993,2
39.127,3387,1996,0
145.487,8022,1995,1
24.453,1454,2014,0
55.415,2685,2019,0
70.276,15039,2018,1
333.223,17204,2016,1
16.407,516,2014,0
56.574,1396,1933,2
31.318,1455,2019,0
35.844,1993,1991,2
19.588,853,2010,0
49.465,416,2007,0
61.36,4017,2008,0
47.61,3690,2000,0
45.869,10894,2014,1
17.077,477,1986,2
43.01,898,1954,2
16.158,1672,2015,0
38.358,1223,2006,0
44.641,3143,2014,0
29.95,1140,1967,2
138.264,13383,1999,1
44.746,5618,2015,0
393.367,20157,2017,1
191.104,21625,2015,1
50.292,4705,1986,2
21.073,1029,1971,2
38.385,1449,2009,0
28.115,362,1945,2
165.8,978,1946,2
28.443,1083,2020,0
59.141,980,2005,0
85.393,5169,2007,0
25.072,856,1973,2
27.568,883,1962,2
27.539,917,1962,2
73.566,550,1947,2
25.091,652,2022,0
44.305,1357,2015,0
39.209,954,2012,0
23.147,673,1960,2
46.69,7758,1999,1
89.788,12348,2008,1
71.936,6595,2003,0
79.298,3720,2018,0
72.821,5321,1939,2
12.329,352,2021,0
22.679,420,2018,0
26.006,648,2009,0
39.653,1134,2006,0
31.321,445,2015,0
160.516,30785,2009,1
49.039,315,1992,2
43.039,974,2005,0
32.636,312,2021,0
37.38,3259,1991,2
12.707,1563,2021,0
32.887,1926,2013,0
28.255,400,2009,0
22.158,1234,2002,0
14.912,869,2004,0
78.511,4508,1964,2
32.754,3380,2014,0
100.929,12179,2011,1
15.414,418,1966,2
24.854,433,1960,2
17.282,319,1973,2
89.209,482,2021,0
23.223,1142,2018,0
77.142,2814,2005,0
92.366,5315,2006,0
12.457,301,2002,0
60.275,1889,2022,0
79.902,12708,2013,1
23.748,1114,2020,0
226.53,12819,2015,1
24.886,976,2010,0
22.697,641,1997,0
28.659,526,2003,0
46.66,515,2022,0
64.978,2471,1997,0
26.957,381,2015,0
28.376,2193,2001,0
23.078,310,2019,0
35.56,11951,2016,1
31.278,1841,2021,0
37.001,498,1987,2
84.735,4376,2001,0
